
None,6,400,100,0.01,0.95,0.8706,0.873
None,7,200,100,0.001,0.85,0.8618,0.8609
None,8,200,200,0.001,0.9,0.8632,0.865
None,10,400,50,0.001,0.95,0.8482,0.8492
None,8,400,150,0.01,0.95,0.8614,0.8571
None,7,400,50,0.01,0.95,0.8594,0.8622
None,9,600,200,0.01,0.9,0.8598,0.862
None,7,600,50,0.005,0.9,0.8646,0.8605
None,5,600,50,0.01,0.9,0.862,0.8581
None,8,400,100,0.005,0.9,0.8518,0.8451
None,5,600,200,0.005,0.95,0.8854,0.8784
None,9,200,150,0.005,0.85,0.8462,0.8398
None,5,400,200,0.005,0.85,0.8452,0.8505
None,7,400,200,0.01,0.85,0.8716,0.8629
None,8,400,50,0.0005,0.9,0.8454,0.8446
None,9,200,200,0.0005,0.85,0.8318,0.8305
None,10,400,200,0.0005,0.95,0.8674,0.8742
None,10,600,100,0.01,0.9,0.8528,0.8629
None,6,200,100,0.001,0.95,0.8616,0.8628
None,10,400,150,0.01,0.9,0.8378,0.8296
None,9,400,100,0.001,0.9,0.8448,0.8474
None,9,200,200,0.001,0.9,0.8402,0.8454
None,6,400,150,0.01,0.85,0.8642,0.8471
None,10,200,200,0.01,0.9,0.8426,0.844
None,6,400,200,0.01,0.95,0.8804,0.8731
None,10,400,200,0.01,0.85,0.8566,0.8545
None,10,400,150,0.001,0.85,0.848,0.8388
None,8,400,100,0.01,0.85,0.8628,0.864
None,8,600,100,0.01,0.9,0.8516,0.8536
None,7,400,100,0.001,0.95,0.865,0.8659
None,9,200,200,0.0005,0.95,0.8392,0.8369
None,6,200,150,0.005,0.85,0.8464,0.8488
None,6,200,100,0.001,0.95,0.8718,0.8733
None,5,600,100,0.005,0.85,0.866,0.8694
None,5,400,150,0.001,0.9,0.848,0.845
None,9,600,50,0.0005,0.85,0.8588,0.8536
None,9,600,100,0.0005,0.85,0.8522,0.855
None,10,400,150,0.01,0.9,0.838,0.8296
None,9,600,200,0.001,0.85,0.876,0.8654
None,5,600,100,0.001,0.9,0.8652,0.8661
None,6,400,150,0.005,0.9,0.8538,0.8459
None,9,600,200,0.01,0.85,0.879,0.8705
None,7,600,150,0.0005,0.95,0.8358,0.8275
None,8,200,100,0.001,0.9,0.8568,0.8498
None,8,400,100,0.001,0.9,0.8368,0.8372
None,10,400,150,0.005,0.95,0.8574,0.8547
None,7,200,100,0.01,0.95,0.865,0.8657
None,7,600,200,0.005,0.95,0.8764,0.8768
None,5,200,100,0.005,0.85,0.8554,0.8507
None,5,600,200,0.001,0.95,0.886,0.8858
None,7,600,100,0.001,0.95,0.8716,0.866
None,7,600,50,0.0005,0.85,0.8578,0.8548
None,10,400,200,0.01,0.9,0.8376,0.8494
None,6,400,150,0.005,0.9,0.8738,0.8635
None,8,200,150,0.001,0.95,0.8496,0.8424
None,5,200,100,0.001,0.85,0.8646,0.8708
None,9,400,100,0.005,0.95,0.8492,0.8464
None,6,200,100,0.01,0.95,0.8388,0.842
